"Name","Bank","Term","NoEmp","NewExist","LowDoc","DisbursementGross","MIS_Status","GrAppv","SBA_Appv","Status","pHat","yHat","Accuracy","TP","TN","FP","FN"
"ST. GEORGE MUFFLER & RADIATOR","ZIONS FIRST NATIONAL BANK",84,2,"1","N",62722,"P I F",20000,10000,"1",0.834798089464019,1,1,1,0,0,0
"MEYER, FREDERICK & CHRISTINE","EMPIRE ST. CERT. DEVEL CORP",240,25,"1","N",190000,"P I F",190000,190000,"1",0.996556293594101,1,1,1,0,0,0
"KAL CARPET CLEANING","BANK OF AMERICA NATL ASSOC",84,8,"1","N",14900,"P I F",15000,7500,"1",0.840924240307145,1,1,1,0,0,0
"ONE STOP LUBE AND WASH","BUSINESS LOAN CENTER, LLC",264,5,"1","N",590000,"P I F",590000,442500,"1",0.99658557761363,1,1,1,0,0,0
"ARDSLEY STOVE CORPORATION","VALLEY NATIONAL BANK",264,12,"1","N",483000,"P I F",483000,362250,"1",0.997083406180856,1,1,1,0,0,0
"LUCHIANO'S PIZZERIA, INC","STEARNS BK NATL ASSOC",84,7,"2","N",175300,"P I F",175300,131475,"1",0.797339364048451,1,1,1,0,0,0
"RYAN DROHAN","TD BANK, NATIONAL ASSOCIATION",84,1,"1","Y",50000,"P I F",50000,42500,"1",0.931378159210077,1,1,1,0,0,0
"R.C. HILL INCORPORATED","KEYBANK NATIONAL ASSOCIATION",84,5,"2","N",150000,"P I F",150000,112500,"1",0.796068984993621,1,1,1,0,0,0
"HIDES & HEADS WILD ART TAXIDER","FIRST SECURITY BK OF MISSOULA",144,1,"2","Y",24000,"P I F",24000,21600,"1",0.980504073967569,1,1,1,0,0,0
"CLEAN CAT CAR WASH,LTD","LEGACYTEXAS BANK",84,2,"2","Y",91800,"P I F",91800,73440,"1",0.917635151100321,1,1,1,0,0,0
"Pallet Central Enterprises, In","BANK OF AMERICA NATL ASSOC",84,5,"2","N",100000,"P I F",100000,50000,"1",0.795764197634102,1,1,1,0,0,0
"MAPLE RIDGE ANIMAL CLINIC, LLC","WELLS FARGO BANK NATL ASSOC",120,2,"2","N",278000,"P I F",278000,208500,"1",0.893280007017465,1,1,1,0,0,0
"WILLIAM J SANCHEZ PA","FLORIDA BUS. DEVEL CORP",240,8,"1","N",83000,"P I F",88000,88000,"1",0.995870991820771,1,1,1,0,0,0
"THE NATURIUM, INC.","BANK OF AMERICA NATL ASSOC",96,12,"1","N",185000,"P I F",185000,157250,"1",0.872990115176235,1,1,1,0,0,0
"NORTHERN LIGHTS AND FANS","NEVADA STATE BANK",84,21,"1","N",250000,"P I F",250000,125000,"1",0.830073100104986,1,1,1,0,0,0
"TRAVEL INN MOTEL","GE CAP. SMALL BUS. FINAN CORP",300,2,"1","N",690000,"P I F",690000,586500,"1",0.998579310057852,1,1,1,0,0,0
"FUTURELAND MONTESSORI SCHOOL","PACIFIC WESTERN BANK",300,9,"1","N",522000,"P I F",522000,391500,"1",0.99871622128602,1,1,1,0,0,0
"RAGUSA'S","INNOVATIVE BANK",84,5,"1","N",20000,"P I F",20000,17000,"1",0.836560619895306,1,1,1,0,0,0
"IMMANUEL DENTAL PA","ANCHOR BANK NATL ASSOC",120,1,"2","N",200000,"P I F",200000,150000,"1",0.897009301227419,1,1,1,0,0,0
"VEGAS EAST CONSTRUCTION,LLC","PNC BANK, NATIONAL ASSOCIATION",44,3,"2","N",50000,"CHGOFF",50000,25000,"0",0.599294888728353,1,0,0,0,1,0
"NORTHHAVEN CARE CENTER, INC.","CAPITAL CERT. DEVEL CORP",240,34,"1","N",521000,"P I F",521000,521000,"1",0.996580237321145,1,1,1,0,0,0
"UNIQUE HITS MUSIC PUBLISHING I","BANK OF AMERICA NATL ASSOC",84,2,"1","N",10000,"P I F",10000,5000,"1",0.831468262057659,1,1,1,0,0,0
